,ClusterId,ClusterName,code,Description
3538,CESS,Smoking cessation codes,XaXR4,Referral for smoking cessation service offered
3539,CESS,Smoking cessation codes,XaXnG,Stop smoking service opportunity signposted
3540,CESS,Smoking cessation codes,XaXnf,Stop smoking invitation short message service text message
3541,CESS,Smoking cessation codes,XaXng,Stop smoking invitation first SMS text message
3542,CESS,Smoking cessation codes,XaXni,Stop smoking invitation second SMS text message
3543,CESS,Smoking cessation codes,XaXnk,Stop smoking invitation third SMS text message
3544,CESS,Smoking cessation codes,Xaca0,Varenicline smoking cessation therapy offered
3545,CESS,Smoking cessation codes,Xaety,Varenicline therapy
4140,CSMOK,Current smoker codes,137..,[Tobacco consumption] or [smoker - amount smoked]
4141,CSMOK,Current smoker codes,1372.,(Trivial smoker - < 1 cig/day) or (occasional smoker)
4142,CSMOK,Current smoker codes,1373.,Light cigarette smoker (1-9 cigs/day)
4143,CSMOK,Current smoker codes,1374.,Moderate cigarette smoker (10-19 cigs/day)
4144,CSMOK,Current smoker codes,1375.,Heavy cigarette smoker (20-39 cigs/day)
4145,CSMOK,Current smoker codes,1376.,Very heavy cigarette smoker (40+ cigs/day)
4146,CSMOK,Current smoker codes,137C.,Keeps trying to stop smoking
4147,CSMOK,Current smoker codes,137D.,Admitted tobacco cons untrue ?
4148,CSMOK,Current smoker codes,137G.,Trying to give up smoking
4149,CSMOK,Current smoker codes,137H.,Pipe smoker
4150,CSMOK,Current smoker codes,137J.,Cigar smoker
4151,CSMOK,Current smoker codes,137M.,Rolls own cigarettes
4152,CSMOK,Current smoker codes,137R.,Smoker
4153,CSMOK,Current smoker codes,137Z.,Tobacco consumption NOS
4154,CSMOK,Current smoker codes,Ua2Cl,Smokes in bed
4155,CSMOK,Current smoker codes,Ub1tI,Cigarette consumption
4156,CSMOK,Current smoker codes,Ub1tJ,Cigar consumption
4157,CSMOK,Current smoker codes,Ub1tK,Pipe tobacco consumption
4158,CSMOK,Current smoker codes,Ub1tR,Occasional cigarette smoker
4159,CSMOK,Current smoker codes,Ub1tS,Light cigarette smoker
4160,CSMOK,Current smoker codes,Ub1tT,Moderate cigarette smoker
4161,CSMOK,Current smoker codes,Ub1tU,Heavy cigarette smoker
4162,CSMOK,Current smoker codes,Ub1tV,Very heavy cigarette smoker
4163,CSMOK,Current smoker codes,Ub1tW,Chain smoker
4164,CSMOK,Current smoker codes,XE0og,Tobacco smoking consumption
4165,CSMOK,Current smoker codes,XE0oi,Trivial cigarette smoker (less than one cigarette/day)
4166,CSMOK,Current smoker codes,XE0oq,Cigarette smoker
4167,CSMOK,Current smoker codes,XE0or,Smoking started
4168,CSMOK,Current smoker codes,XaBSp,Smoking restarted
4169,CSMOK,Current smoker codes,XaIIu,Smoking reduced
4170,CSMOK,Current smoker codes,XaIkW,Thinking about stopping smoking
4171,CSMOK,Current smoker codes,XaIkX,Ready to stop smoking
4172,CSMOK,Current smoker codes,XaIkY,Not interested in stopping smoking
4173,CSMOK,Current smoker codes,XaItg,Reason for restarting smoking
4174,CSMOK,Current smoker codes,XaJX2,Minutes from waking to first tobacco consumption
4175,CSMOK,Current smoker codes,XaLQh,Wants to stop smoking
4176,CSMOK,Current smoker codes,XaWNE,Failed attempt to stop smoking
4177,CSMOK,Current smoker codes,XaZIE,Waterpipe tobacco consumption
4178,CSMOK,Current smoker codes,XagO3,Occasional tobacco smoker
11994,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G3...,Ischaemic heart disease (& [arteriosclerotic])
11995,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G30..,(Myocard inf (& [ac][silent][card rupt])) or (coron thromb)
11996,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G300.,Acute anterolateral myocardial infarction
11997,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G301.,Other specified anterior myocardial infarction
11998,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G3010,Acute anteroapical infarction
11999,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G3011,Acute anteroseptal myocardial infarction
12000,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G301z,Anterior myocardial infarction NOS
12001,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G302.,Acute inferolateral myocardial infarction
12002,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G303.,Acute inferoposterior infarction
12003,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G304.,Posterior myocardial infarction NOS
12004,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G305.,Lateral myocardial infarction NOS
12005,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G306.,True posterior myocardial infarction
12006,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G307.,Acute subendocardial infarction
12007,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G308.,Inferior myocardial infarction NOS
12008,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G30y.,Other acute myocardial infarction
12009,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G30y0,Acute atrial infarction
12010,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G30y1,Acute papillary muscle infarction
12011,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G30y2,Acute septal infarction
12012,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G30yz,Other acute myocardial infarction NOS
12013,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G30z.,Acute myocardial infarction NOS
12014,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G31..,Other acute and subacute ischaemic heart disease
12015,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G311.,(Angina:[cresc][unstabl][at rest])(preinfar syn)(imp infarc)
12016,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G3110,Aborted myocardial infarction
12017,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G311z,Preinfarction syndrome NOS
12018,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G312.,Coronary thrombosis not resulting in myocardial infarction
12019,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G31y0,Acute coronary insufficiency
12020,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G31y1,Microinfarction of heart
12021,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G31y2,Subendocardial ischaemia
12022,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G31yz,Other acute and subacute ischaemic heart disease NOS
12023,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G33..,Angina
12024,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G330.,Angina decubitus
12025,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G3300,Nocturnal angina
12026,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G330z,Angina decubitus NOS
12027,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G33z.,Angina pectoris NOS
12028,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G33z0,Status anginosus
12029,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G33z1,Stenocardia
12030,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G33z2,Syncope anginosa
12031,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G33z3,Exercise-induced angina
12032,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G33zz,Angina pectoris NOS
12033,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G34..,Other chronic ischaemic heart disease
12034,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G340.,Coronary (atheroscl or artery dis) or triple vess dis heart
12035,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G3400,Single coronary vessel disease
12036,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G3401,Double coronary vessel disease
12037,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G34y.,Other specified chronic ischaemic heart disease
12038,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G34y0,Chronic myocardial ischaemia
12039,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G34y1,Chronic myocardial ischaemia
12040,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G34yz,Other specified chronic ischaemic heart disease NOS
12041,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G34z.,Other chronic ischaemic heart disease NOS
12042,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G35..,Subsequent myocardial infarction
12043,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G350.,Subsequent myocardial infarction of anterior wall
12044,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G351.,Subsequent myocardial infarction of inferior wall
12045,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G353.,Subsequent myocardial infarction of other sites
12046,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G363.,Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI
12047,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G3y..,Other specified ischaemic heart disease
12048,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),G3z..,Ischaemic heart disease NOS
12049,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),Gyu30,[X]Other forms of angina pectoris
12050,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),Gyu31,[X]Other current complicatns following acute myocard infarct
12051,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),Gyu32,[X]Other forms of acute ischaemic heart disease
12052,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),Gyu33,[X]Other forms of chronic ischaemic heart disease
12053,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),Gyu34,[X]Acute transmural myocardial infarction of unspecif site
12054,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),Gyu35,[X]Subsequent myocardial infarction of other sites
12055,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),Gyu36,[X]Subsequent myocardial infarction of unspecified site
12056,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),X2006,Triple vessel disease of the heart
12057,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),X2007,Angina at rest
12058,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),X2008,Stable angina
12059,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),X2009,Unstable angina
12060,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),X200A,New onset angina
12061,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),X200C,Myocardial ischaemia
12062,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),X200D,Silent myocardial ischaemia
12063,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),X200E,Myocardial infarction
12064,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),X200G,Acute Q wave infarction - anteroseptal
12065,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),X200H,Acute non-Q wave infarction - anteroseptal
12066,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),X200I,Acute Q wave infarction - anterolateral
12067,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),X200J,Acute non-Q wave infarction - anterolateral
12068,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),X200K,Acute inferior myocardial infarction
12069,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),X200L,Acute Q wave infarction - inferior
12070,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),X200M,Acute non-Q wave infarction - inferior
12071,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),X200N,Acute Q wave infarction - inferolateral
12072,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),X200O,Acute non-Q wave infarction - inferolateral
12073,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),X200P,Acute lateral myocardial infarction
12074,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),X200Q,Acute Q wave infarction - lateral
12075,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),X200R,Acute non-Q wave infarction - lateral
12076,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),X200S,Acute widespread myocardial infarction
12077,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),X200T,Acute Q wave infarction - widespread
12078,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),X200U,Acute non-Q wave infarction - widespread
12079,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),X200V,Acute posterior myocardial infarction
12080,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),X200W,Old anterior myocardial infarction
12081,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),X200X,Old inferior myocardial infarction
12082,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),X200Y,Old lateral myocardial infarction
12083,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),X200Z,Old posterior myocardial infarction
12084,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),X200a,Silent myocardial infarction
12085,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),X200d,Post-infarction ventricular septal defect
12086,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),X200e,Cardiac rupture after acute myocardial infarction
12087,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),XE0Uh,Acute myocardial infarction
12088,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),XE0Ui,Worsening angina
12089,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),XE0WA,Myocardial infarction (& [acute]) or coronary thrombosis
12090,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),XE0WC,Acute/subacute ischaemic heart disease NOS
12091,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),XE0WE,Heart disease: [arteriosclerotic] or [chronic ischaemic NOS]
12092,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),XE0WG,Chronic ischaemic heart disease NOS
12093,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),XE2aA,Old myocardial infarction
12094,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),XE2uV,Ischaemic heart disease
12095,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),XSDT6,Coronary artery atheroma
12096,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),Xa0YL,Acute anterior myocardial infarction
12097,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),Xa7nH,Exercise-induced angina
12098,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),XaAC3,Acute Q wave myocardial infarction
12099,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),XaAzi,Acute non-Q wave infarction
12100,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),XaD2b,Postoperative myocardial infarction
12101,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),XaD2d,Postoperative transmural myocardial infarction anterior wall
12102,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),XaD2e,Postoperative transmural myocardial infarction inferior wall
12103,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),XaD2f,Postoperative transmural myocardial infarction other sites
12104,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),XaD2g,Postoperative transmural myocardial infarction unspec site
12105,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),XaD2h,Postoperative subendocardial myocardial infarction
12106,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),XaD2i,"Postoperative myocardial infarction, unspecified"
12107,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),XaEXt,Post infarct angina
12108,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),XaEgZ,Non-Q wave myocardial infarction
12109,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),XaFsG,Refractory angina
12110,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),XaFsH,Transient myocardial ischaemia
12111,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),XaG1Q,Asymptomatic coronary heart disease
12112,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),XaINF,Acute coronary syndrome
12113,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),XaIf1,First myocardial infarction
12114,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),XaIwM,Acute ST segment elevation myocardial infarction
12115,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),XaIwY,Acute non-ST segment elevation myocardial infarction
12116,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),XaJX0,Acute posterolateral myocardial infarction
12117,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),Y1eef,Mixed myocardial ischaemia and infarction
12118,DRSMOK1,Qualifying diagnostic codes (Stroke & TIA),Y3657,H/O: Ischaemic heart disease
12119,DRSMOK10,Codes for asthma resolved,21262,Asthma resolved
12120,DRSMOK11,Asthma-related drug treatment codes,c1...,Selective beta-2 adrenoceptor stimulants
12121,DRSMOK11,Asthma-related drug treatment codes,c11..,Salbutamol [oral preparations]
12122,DRSMOK11,Asthma-related drug treatment codes,c111.,Asmaven 2mg tablet
12123,DRSMOK11,Asthma-related drug treatment codes,c112.,Asmaven 4mg tablet
12124,DRSMOK11,Asthma-related drug treatment codes,c113.,Cobutolin 2mg tablet
12125,DRSMOK11,Asthma-related drug treatment codes,c114.,Cobutolin 4mg tablet
12126,DRSMOK11,Asthma-related drug treatment codes,c115.,Salbulin 2mg tablet
12127,DRSMOK11,Asthma-related drug treatment codes,c116.,Salbulin 4mg tablet
12128,DRSMOK11,Asthma-related drug treatment codes,c117.,Salbulin 2mg/2mL liquid
12129,DRSMOK11,Asthma-related drug treatment codes,c118.,Ventolin 2mg tablet
12130,DRSMOK11,Asthma-related drug treatment codes,c119.,Ventolin 4mg tablet
12131,DRSMOK11,Asthma-related drug treatment codes,c11D.,Salapin 2mg/5mL sugar free syrup
12132,DRSMOK11,Asthma-related drug treatment codes,c11a.,Ventolin 8mg m/r tablet
12133,DRSMOK11,Asthma-related drug treatment codes,c11b.,Ventolin 2mg/5mL s/f syrup
12134,DRSMOK11,Asthma-related drug treatment codes,c11c.,Volmax 4mg m/r tablet
12135,DRSMOK11,Asthma-related drug treatment codes,c11d.,Volmax 8mg m/r tablet
12136,DRSMOK11,Asthma-related drug treatment codes,c11e.,Salbuvent 2mg tablet
12137,DRSMOK11,Asthma-related drug treatment codes,c11f.,Salbuvent 4mg tablet
12138,DRSMOK11,Asthma-related drug treatment codes,c11g.,Salbuvent 2mg/5mL syrup
12139,DRSMOK11,Asthma-related drug treatment codes,c11h.,Salbuvent 2mg/5mL syrup 2litre
12140,DRSMOK11,Asthma-related drug treatment codes,c11i.,Ventolin CR 4mg m/r tablet
12141,DRSMOK11,Asthma-related drug treatment codes,c11j.,Salbutamol 4mg m/r tablet
12142,DRSMOK11,Asthma-related drug treatment codes,c11k.,Ventolin CR 8mg m/r tablet
12143,DRSMOK11,Asthma-related drug treatment codes,c11m.,Libetist 2mg/5mL sugar free syrup
12144,DRSMOK11,Asthma-related drug treatment codes,c11n.,Salbutamol 4mg m/r capsule
12145,DRSMOK11,Asthma-related drug treatment codes,c11o.,Salbutamol 8mg m/r capsule
12146,DRSMOK11,Asthma-related drug treatment codes,c11p.,Ventmax SR 4mg m/r capsule
12147,DRSMOK11,Asthma-related drug treatment codes,c11q.,Ventmax SR 8mg m/r capsule
12148,DRSMOK11,Asthma-related drug treatment codes,c11v.,Salbutamol 4mg tablet
12149,DRSMOK11,Asthma-related drug treatment codes,c11w.,Salbutamol 2mg/2mL liquid
12150,DRSMOK11,Asthma-related drug treatment codes,c11x.,Salbutamol 2mg tablet
12151,DRSMOK11,Asthma-related drug treatment codes,c11y.,Salbutamol 8mg m/r tablet
12152,DRSMOK11,Asthma-related drug treatment codes,c11z.,Salbutamol 2mg/5mL sugar free syrup
12153,DRSMOK11,Asthma-related drug treatment codes,c12..,Salbutamol [parenteral preparations]
12154,DRSMOK11,Asthma-related drug treatment codes,c121.,Ventolin 250micrograms/5mL injection
12155,DRSMOK11,Asthma-related drug treatment codes,c122.,Ventolin 500micrograms/1mL injection
12156,DRSMOK11,Asthma-related drug treatment codes,c123.,Ventolin 5mg/5mL intravenous infusion
12157,DRSMOK11,Asthma-related drug treatment codes,c124.,Salbuvent 250micrograms/5mL injection
12158,DRSMOK11,Asthma-related drug treatment codes,c125.,Salbuvent 500micrograms/1mL injection
12159,DRSMOK11,Asthma-related drug treatment codes,c126.,Salbuvent 5mg/5mL intravenous infusion
12160,DRSMOK11,Asthma-related drug treatment codes,c12w.,Salbutamol 5mg/50mL injection
12161,DRSMOK11,Asthma-related drug treatment codes,c12x.,Salbutamol 250micrograms/5mL injection
12162,DRSMOK11,Asthma-related drug treatment codes,c12y.,Salbutamol 500micrograms/1mL injection
12163,DRSMOK11,Asthma-related drug treatment codes,c12z.,Salbutamol 5mg/5mL intravenous infusion
12164,DRSMOK11,Asthma-related drug treatment codes,c13..,Salbutamol [inhalation preparations]
12165,DRSMOK11,Asthma-related drug treatment codes,c131.,Asmaven 100micrograms inhaler
12166,DRSMOK11,Asthma-related drug treatment codes,c132.,Cobutolin 100micrograms inhaler
12167,DRSMOK11,Asthma-related drug treatment codes,c133.,Salbulin 100micrograms inhaler
12168,DRSMOK11,Asthma-related drug treatment codes,c134.,Ventolin 100micrograms inhaler
12169,DRSMOK11,Asthma-related drug treatment codes,c135.,Ventolin 2.5mg/2.5mL Nebule
12170,DRSMOK11,Asthma-related drug treatment codes,c136.,Ventolin 200micrograms Rotacap
12171,DRSMOK11,Asthma-related drug treatment codes,c137.,Ventolin 400micrograms Rotacap
12172,DRSMOK11,Asthma-related drug treatment codes,c139.,Ventolin 100mg/20mL nebuliser solution
12173,DRSMOK11,Asthma-related drug treatment codes,c13A.,Steri-Neb Salamol 2.5mg/2.5mL nebulisation unit
12174,DRSMOK11,Asthma-related drug treatment codes,c13B.,Steri-Neb Salamol 5mg/2.5mL nebulisation unit
12175,DRSMOK11,Asthma-related drug treatment codes,c13C.,Salbutamol 200micrograms/blister disks+disk inhaler
12176,DRSMOK11,Asthma-related drug treatment codes,c13D.,Salbutamol 400micrograms/blister disks+disk inhaler
12177,DRSMOK11,Asthma-related drug treatment codes,c13E.,Salbutamol 200micrograms/blister disks refill
12178,DRSMOK11,Asthma-related drug treatment codes,c13F.,Salbutamol 400micrograms/blister disks refill
12179,DRSMOK11,Asthma-related drug treatment codes,c13G.,Salbutamol 100micrograms breath-actuated aerosol inhaler
12180,DRSMOK11,Asthma-related drug treatment codes,c13H.,Salamol 100micrograms inhaler
12181,DRSMOK11,Asthma-related drug treatment codes,c13I.,Airomir 100micrograms CFC-free inhaler
12182,DRSMOK11,Asthma-related drug treatment codes,c13J.,Salbutamol 100micrograms CFC-free inhaler
12183,DRSMOK11,Asthma-related drug treatment codes,c13K.,Salamol Easi-Breathe 100mcg breath-actuated aerosol inhaler
12184,DRSMOK11,Asthma-related drug treatment codes,c13L.,Salbutamol 200micrograms breath-actuated dry powder inhaler
12185,DRSMOK11,Asthma-related drug treatment codes,c13M.,Ventolin 200micrograms Accuhaler
12186,DRSMOK11,Asthma-related drug treatment codes,c13N.,Salbutamol 100micrograms vortex metered dose inhaler
12187,DRSMOK11,Asthma-related drug treatment codes,c13O.,Ventolin Easi-Breathe 100microgram inhaler
12188,DRSMOK11,Asthma-related drug treatment codes,c13P.,Asmasal 100micrograms Spacehaler
12189,DRSMOK11,Asthma-related drug treatment codes,c13Q.,Asmasal 95micrograms Clickhaler
12190,DRSMOK11,Asthma-related drug treatment codes,c13R.,Salbutamol 100micrograms breath-actuated dry powder inhaler
12191,DRSMOK11,Asthma-related drug treatment codes,c13S.,Salbutamol 95micrograms breath-actuated dry powder inhaler
12192,DRSMOK11,Asthma-related drug treatment codes,c13T.,Ventolin 100micrograms Evohaler
12193,DRSMOK11,Asthma-related drug treatment codes,c13U.,Salbutamol 100mcg CFC-free breath-actuated aerosol inhaler
12194,DRSMOK11,Asthma-related drug treatment codes,c13V.,Airomir 100micrograms CFC-free Autohaler
12195,DRSMOK11,Asthma-related drug treatment codes,c13W.,Maxivent 2.5mg/2.5mL Steripoule
12196,DRSMOK11,Asthma-related drug treatment codes,c13X.,Maxivent 5mg/2.5mL Steripoule
12197,DRSMOK11,Asthma-related drug treatment codes,c13Y.,Salbulin 100micrograms CFC-free inhaler
12198,DRSMOK11,Asthma-related drug treatment codes,c13Z.,Salamol 100micrograms CFC-free inhaler
12199,DRSMOK11,Asthma-related drug treatment codes,c13a.,Aerolin-400 100micrograms inhaler
12200,DRSMOK11,Asthma-related drug treatment codes,c13c.,Aerolin Auto 100micrograms inhaler
12201,DRSMOK11,Asthma-related drug treatment codes,c13d.,Ventodisks 200micrograms diskhaler 14x8
12202,DRSMOK11,Asthma-related drug treatment codes,c13e.,Ventodisks 400micrograms diskhaler 14x8
