type,code,bnf_code,nm
amp,588311000001103,0201010F0BBAAAE,Lanoxin 125 tablets (Aspen Pharma Trading Ltd)
amp,913711000001102,0201010F0BBABAF,Lanoxin 250microgram tablets (Aspen Pharma Trading Ltd)
amp,255611000001104,0201010F0BBACAC,Lanoxin 500micrograms/2ml solution for infusion ampoules (Aspen Pharma Trading Ltd)
amp,443011000001106,0201010F0BBADAD,Lanoxin PG 62.5microgram tablets (Aspen Pharma Trading Ltd)
amp,307011000001100,0201010F0BBAEAA,Lanoxin PG 50micrograms/ml elixir (Aspen Pharma Trading Ltd)
amp,10425811000001108,0201010F0BBAGAR,Lanoxin Injection Pediatric 100micrograms/1ml solution for injection ampoules (Imported (United States))
amp,246011000001104,0201010F0BEAAAD,Digamex 62.5microgram tablets (Actavis UK Ltd)
amp,654111000001105,0201010F0BEABAE,Digamex 125microgram tablets (Actavis UK Ltd)
amp,79011000001103,0201010F0BEACAF,Digamex 250microgram tablets (Actavis UK Ltd)
amp,4083511000001106,0201020G0BBAAAA,Perfan 100mg/20ml solution for injection ampoules (Carinopharm GmbH)
amp,34795511000001105,0201020M0AAAAAA,Milrinone 10mg/10ml solution for infusion ampoules (Wockhardt UK Ltd)
amp,34796211000001101,0201020M0AAAAAA,Milrinone 10mg/10ml solution for infusion ampoules (Peckforton Pharmaceuticals Ltd)
amp,36608811000001102,0201020M0AAAAAA,Milrinone 10mg/10ml concentrate for solution for infusion ampoules (Stragen UK Ltd)
amp,4646811000001102,0201020M0BBAAAA,Primacor 10mg/10ml solution for injection ampoules (Sanofi)
amp,1711000001109,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Actavis UK Ltd)
amp,288611000001101,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Alliance Healthcare (Distribution) Ltd)
amp,454811000001100,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Wockhardt UK Ltd)
amp,464311000001103,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (IVAX Pharmaceuticals UK Ltd)
amp,516711000001101,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (The Boots Company Plc)
amp,750511000001102,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Kent Pharmaceuticals Ltd)
amp,772511000001103,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (A A H Pharmaceuticals Ltd)
amp,779811000001105,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Teva UK Ltd)
amp,914811000001108,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Mylan)
amp,7487011000001109,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Sandoz Ltd)
amp,9792811000001103,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Almus Pharmaceuticals Ltd)
amp,10383911000001102,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Arrow Generics Ltd)
amp,11009711000001106,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Dr Reddy's Laboratories (UK) Ltd)
amp,15986611000001101,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Bristol Laboratories Ltd)
amp,17195711000001104,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Sovereign Medical Ltd)
amp,17796011000001102,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Phoenix Healthcare Distribution Ltd)
amp,20323211000001103,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Genesis Pharmaceuticals Ltd)
amp,21782411000001107,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Waymade Healthcare Plc)
amp,22616411000001103,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (DE Pharmaceuticals)
amp,28947811000001100,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Crescent Pharma Ltd)
amp,29774011000001106,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Sigma Pharmaceuticals Plc)
amp,29998911000001102,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Mawdsley-Brooks & Company Ltd)
amp,35194911000001100,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (NorthStar Healthcare Unlimited Company)
amp,143511000001102,0202010B0AAACAC,Bendroflumethiazide 5mg tablets (Alliance Healthcare (Distribution) Ltd)
amp,159711000001108,0202010B0AAACAC,Bendroflumethiazide 5mg tablets (Wockhardt UK Ltd)
amp,169811000001105,0202010B0AAACAC,Bendroflumethiazide 5mg tablets (Mylan)
amp,320511000001104,0202010B0AAACAC,Bendroflumethiazide 5mg tablets (IVAX Pharmaceuticals UK Ltd)
amp,436711000001100,0202010B0AAACAC,Bendroflumethiazide 5mg tablets (Teva UK Ltd)
amp,501911000001107,0202010B0AAACAC,Bendroflumethiazide 5mg tablets (A A H Pharmaceuticals Ltd)
amp,532811000001101,0202010B0AAACAC,Bendroflumethiazide 5mg tablets (Kent Pharmaceuticals Ltd)
amp,720911000001105,0202010B0AAACAC,Bendroflumethiazide 5mg tablets (Accord Healthcare Ltd)
amp,9793111000001104,0202010B0AAACAC,Bendroflumethiazide 5mg tablets (Almus Pharmaceuticals Ltd)
amp,10384111000001103,0202010B0AAACAC,Bendroflumethiazide 5mg tablets (Arrow Generics Ltd)
amp,11010111000001102,0202010B0AAACAC,Bendroflumethiazide 5mg tablets (Dr Reddy's Laboratories (UK) Ltd)
amp,15986811000001102,0202010B0AAACAC,Bendroflumethiazide 5mg tablets (Bristol Laboratories Ltd)
amp,17196011000001105,0202010B0AAACAC,Bendroflumethiazide 5mg tablets (Sovereign Medical Ltd)
amp,17796911000001103,0202010B0AAACAC,Bendroflumethiazide 5mg tablets (Phoenix Healthcare Distribution Ltd)
amp,21782811000001109,0202010B0AAACAC,Bendroflumethiazide 5mg tablets (Waymade Healthcare Plc)
amp,22617011000001105,0202010B0AAACAC,Bendroflumethiazide 5mg tablets (DE Pharmaceuticals)
amp,29774211000001101,0202010B0AAACAC,Bendroflumethiazide 5mg tablets (Sigma Pharmaceuticals Plc)
amp,29999111000001107,0202010B0AAACAC,Bendroflumethiazide 5mg tablets (Mawdsley-Brooks & Company Ltd)
amp,32661411000001109,0202010B0AAACAC,Bendroflumethiazide 5mg tablets (Genesis Pharmaceuticals Ltd)
amp,34015811000001107,0202010B0AAACAC,Bendroflumethiazide 5mg tablets (Crescent Pharma Ltd)
amp,8287311000001100,0202010B0AAAQAQ,Bendroflumethiazide 5mg/5ml oral suspension (Special Order)
amp,12225511000001102,0202010B0AAASAS,Bendroflumethiazide 2mg/5ml oral suspension (Special Order)
amp,12226111000001100,0202010B0AAASAS,Bendroflumethiazide 2mg/5ml oral solution (Special Order)
amp,8284811000001100,0202010B0AAAUAU,Bendroflumethiazide 1.25mg/5ml oral suspension (Special Order)
amp,12228011000001102,0202010B0AAAVAV,Bendroflumethiazide 3.75mg/5ml oral suspension (Special Order)
amp,12228311000001104,0202010B0AAAVAV,Bendroflumethiazide 3.75mg/5ml oral solution (Special Order)
amp,8286211000001106,0202010B0AAAWAW,Bendroflumethiazide 1mg/5ml oral suspension (Special Order)
amp,8287011000001103,0202010B0AAAXAX,Bendroflumethiazide 2.5mg/5ml oral suspension (Drug Tariff Special Order)
amp,672111000001100,0202010B0BBAAAB,Aprinox 2.5mg tablets (Advanz Pharma)
amp,120911000001103,0202010B0BBABAC,Aprinox 5mg tablets (Amdipharm Plc)
amp,817911000001100,0202010B0BEAAAC,Neo-Naclex 5mg tablets (Mercury Pharma Group Ltd)
amp,18149011000001101,0202010B0BEABAB,Neo-Naclex 2.5mg tablets (Advanz Pharma)
amp,898211000001109,0202010B0BFAAAC,Urizide 5mg tablets (Dr Reddy's Laboratories (UK) Ltd)
amp,485311000001101,0202010B0BFABAB,Urizide 2.5mg tablets (Dr Reddy's Laboratories (UK) Ltd)
amp,28377711000001102,0202010D0AAAFAF,Chlorothiazide 500mg tablets (Special Order)
amp,15865211000001103,0202010D0AAAUAU,Chlorothiazide 250mg/5ml oral suspension (Drug Tariff Special Order)
amp,8340411000001105,0202010D0AABBBB,Chlorothiazide 125mg/5ml oral suspension (Special Order)
amp,12462011000001107,0202010D0AABCBC,Chlorothiazide 250mg/5ml oral solution (Special Order)
amp,12460111000001109,0202010D0AABDBD,Chlorothiazide 375mg/5ml oral suspension (Special Order)
amp,12468811000001104,0202010D0AABDBD,Chlorothiazide 375mg/5ml oral solution (Special Order)
amp,12425711000001106,0202010D0AABEBE,Chlorothiazide 10mg/5ml oral suspension (Special Order)
amp,12426311000001102,0202010D0AABEBE,Chlorothiazide 10mg/5ml oral solution (Special Order)
amp,8340011000001101,0202010D0AABFBF,Chlorothiazide 50mg/5ml oral suspension (Special Order)
amp,11992911000001105,0202010D0AABGBG,Chlorothiazide 70mg/5ml oral suspension (Special Order)
amp,11993211000001107,0202010D0AABGBG,Chlorothiazide 70mg/5ml oral solution (Special Order)
amp,12460411000001104,0202010D0AABHBH,Chlorothiazide 40mg/5ml oral suspension (Special Order)
amp,12470211000001107,0202010D0AABHBH,Chlorothiazide 40mg/5ml oral solution (Special Order)
amp,12446111000001102,0202010D0AABIBI,Chlorothiazide 200mg/5ml oral solution (Special Order)
amp,12458511000001105,0202010D0AABJBJ,Chlorothiazide 30mg/5ml oral suspension (Special Order)
amp,12467411000001100,0202010D0AABJBJ,Chlorothiazide 30mg/5ml oral solution (Special Order)
amp,8339011000001108,0202010D0AABKBK,Chlorothiazide 100mg/5ml oral suspension (Special Order)
amp,12458011000001102,0202010D0AABMBM,Chlorothiazide 300mg/5ml oral suspension (Special Order)
amp,12465711000001100,0202010D0AABMBM,Chlorothiazide 300mg/5ml oral solution (Special Order)
amp,11991011000001103,0202010D0AABNBN,Chlorothiazide 6mg/5ml oral suspension (Special Order)
amp,11991511000001106,0202010D0AABNBN,Chlorothiazide 6mg/5ml oral solution (Special Order)
amp,12429011000001106,0202010D0AABPBP,Chlorothiazide 155mg/5ml oral suspension (Special Order)
amp,12429311000001109,0202010D0AABPBP,Chlorothiazide 155mg/5ml oral solution (Special Order)
amp,8338711000001101,0202010D0AABQBQ,Chlorothiazide 20mg/5ml oral suspension (Special Order)
amp,8341711000001107,0202010D0AABTBT,Chlorothiazide 80mg/5ml oral suspension (Special Order)
amp,12445011000001107,0202010D0AABUBU,Chlorothiazide 187.5mg/5ml oral suspension (Special Order)
amp,12445311000001105,0202010D0AABUBU,Chlorothiazide 187.5mg/5ml oral solution (Special Order)
amp,11988611000001101,0202010D0AABVBV,Chlorothiazide 500mg/5ml oral suspension (Special Order)
amp,11989511000001106,0202010D0AABVBV,Chlorothiazide 500mg/5ml oral solution (Special Order)
amp,12426611000001107,0202010D0AABWBW,Chlorothiazide 12.5mg/5ml oral suspension (Special Order)
amp,12426911000001101,0202010D0AABWBW,Chlorothiazide 12.5mg/5ml oral solution (Special Order)
amp,12456311000001103,0202010D0AABXBX,Chlorothiazide 24mg/5ml oral suspension (Special Order)
amp,12461011000001104,0202010D0AABXBX,Chlorothiazide 24mg/5ml oral solution (Special Order)
amp,8341111000001106,0202010D0AABZBZ,Chlorothiazide 35mg/5ml oral suspension (Special Order)
amp,11994611000001107,0202010D0AACBCB,Chlorothiazide 75mg/5ml oral suspension (Special Order)
amp,11994911000001101,0202010D0AACBCB,Chlorothiazide 75mg/5ml oral solution (Special Order)
amp,12449211000001104,0202010D0AACDCD,Chlorothiazide 225mg/5ml oral suspension (Special Order)
amp,12450411000001108,0202010D0AACDCD,Chlorothiazide 225mg/5ml oral solution (Special Order)
amp,11995811000001107,0202010D0AACECE,Chlorothiazide 85mg/5ml oral suspension (Special Order)
amp,11996111000001106,0202010D0AACECE,Chlorothiazide 85mg/5ml oral solution (Special Order)
amp,11989911000001104,0202010D0AACGCG,Chlorothiazide 5mg/5ml oral suspension (Special Order)
amp,11990711000001109,0202010D0AACGCG,Chlorothiazide 5mg/5ml oral solution (Special Order)
amp,11996711000001107,0202010D0AACHCH,Chlorothiazide 90mg/5ml oral suspension (Special Order)
amp,11997311000001106,0202010D0AACHCH,Chlorothiazide 90mg/5ml oral solution (Special Order)
amp,12451711000001105,0202010D0AACICI,Chlorothiazide 240mg/5ml oral suspension (Special Order)
amp,12461311000001101,0202010D0AACICI,Chlorothiazide 240mg/5ml oral solution (Special Order)
amp,12427811000001108,0202010D0AACJCJ,Chlorothiazide 140mg/5ml oral suspension (Special Order)
amp,12428111000001100,0202010D0AACJCJ,Chlorothiazide 140mg/5ml oral solution (Special Order)
amp,11992111000001107,0202010D0AACKCK,Chlorothiazide 7.5mg/5ml oral suspension (Special Order)
amp,11992511000001103,0202010D0AACKCK,Chlorothiazide 7.5mg/5ml oral solution (Special Order)
amp,12457511000001106,0202010D0AACLCL,Chlorothiazide 3.75mg/5ml oral suspension (Special Order)
amp,12465411000001106,0202010D0AACLCL,Chlorothiazide 3.75mg/5ml oral solution (Special Order)
amp,11993711000001100,0202010D0AACMCM,Chlorothiazide 750mg/5ml oral suspension (Special Order)
amp,11994311000001102,0202010D0AACMCM,Chlorothiazide 750mg/5ml oral solution (Special Order)
amp,8341411000001101,0202010D0AACNCN,Chlorothiazide 60mg/5ml oral suspension (Special Order)
amp,12427211000001107,0202010D0AACPCP,Chlorothiazide 120mg/5ml oral suspension (Special Order)
amp,12427511000001105,0202010D0AACPCP,Chlorothiazide 120mg/5ml oral solution (Special Order)
amp,12429611000001104,0202010D0AACRCR,Chlorothiazide 15mg/5ml oral suspension (Special Order)
amp,12429911000001105,0202010D0AACRCR,Chlorothiazide 15mg/5ml oral solution (Special Order)
amp,12430411000001109,0202010D0AACSCS,Chlorothiazide 160mg/5ml oral suspension (Special Order)
amp,12444711000001105,0202010D0AACSCS,Chlorothiazide 160mg/5ml oral solution (Special Order)
amp,12460711000001105,0202010D0AACTCT,Chlorothiazide 47mg/5ml oral suspension (Special Order)
amp,12486711000001105,0202010D0AACTCT,Chlorothiazide 47mg/5ml oral solution (Special Order)
amp,12428411000001105,0202010D0AACUCU,Chlorothiazide 143mg/5ml oral suspension (Special Order)
amp,12428711000001104,0202010D0AACUCU,Chlorothiazide 143mg/5ml oral solution (Special Order)
amp,12459211000001102,0202010D0AACWCW,Chlorothiazide 33mg/5ml oral suspension (Special Order)
amp,12468111000001106,0202010D0AACWCW,Chlorothiazide 33mg/5ml oral solution (Special Order)
amp,15864911000001108,0202010D0AACYCY,Chlorothiazide 250mg tablets (Special Order)
amp,8339411000001104,0202010D0AACZCZ,Chlorothiazide 350mg/5ml oral suspension (Special Order)
amp,12457211000001108,0202010D0AADBDB,Chlorothiazide 27mg/5ml oral suspension (Special Order)
amp,12462711000001109,0202010D0AADBDB,Chlorothiazide 27mg/5ml oral solution (Special Order)
amp,8339511000001100,0202010D0AADCDC,Chlorothiazide 38mg/5ml oral suspension (Special Order)
amp,8338411000001107,0202010D0AADDDD,Chlorothiazide 150mg/5ml oral suspension (Drug Tariff Special Order)
amp,8340611000001108,0202010D0AADEDE,Chlorothiazide 25mg/5ml oral suspension (Drug Tariff Special Order)
amp,35132711000001104,0202010D0AADFDF,Chlorothiazide 300mg capsules (Special Order)
amp,12445611000001100,0202010D0AADGDG,Chlorothiazide 200mg/5ml oral suspension (Drug Tariff Special Order)
amp,7652811000001107,0202010D0BCAAAU,Diuril 250mg/5ml oral suspension (Imported (United States))
amp,7655311000001109,0202010D0BCABCY,Diuril 250mg tablets (Imported (United States))
amp,23667611000001109,0202010F0AAAAAA,Chlortalidone 50mg tablets (Sovereign Medical Ltd)
amp,23983011000001107,0202010F0AAAAAA,Chlortalidone 50mg tablets (A A H Pharmaceuticals Ltd)
amp,23996811000001109,0202010F0AAAAAA,Chlortalidone 50mg tablets (Alliance Healthcare (Distribution) Ltd)
amp,31989011000001101,0202010F0AAAAAA,Chlortalidone 50mg tablets (Ennogen Healthcare Ltd)
amp,8342111000001101,0202010F0AAAKAK,Chlortalidone 50mg/5ml oral suspension (Special Order)
amp,285911000001101,0202010F0BBAAAA,Hygroton 50mg tablets (Alliance Pharmaceuticals Ltd)
amp,487811000001100,0202010J0BBAAAA,Navidrex 500microgram tablets (Advanz Pharma)
amp,20528911000001104,0202010L0AAABAB,Hydrochlorothiazide 25mg tablets (Special Order)
amp,20529211000001103,0202010L0AAACAC,Hydrochlorothiazide 50mg tablets (Special Order)
amp,8518311000001109,0202010L0AAAJAJ,Hydrochlorothiazide 12.5mg/5ml oral solution (Special Order)
amp,8519311000001103,0202010L0AAAJAJ,Hydrochlorothiazide 12.5mg/5ml oral suspension (Special Order)
amp,12509011000001107,0202010L0AAAKAK,Hydrochlorothiazide 6.25mg/5ml oral suspension (Special Order)
amp,12509311000001105,0202010L0AAAKAK,Hydrochlorothiazide 6.25mg/5ml oral solution (Special Order)
amp,12501411000001104,0202010L0AAALAL,Hydrochlorothiazide 20mg/5ml oral suspension (Special Order)
amp,12501711000001105,0202010L0AAALAL,Hydrochlorothiazide 20mg/5ml oral solution (Special Order)
amp,8517311000001108,0202010L0AAAMAM,Hydrochlorothiazide 25mg/5ml oral solution (Special Order)
amp,8519611000001108,0202010L0AAAMAM,Hydrochlorothiazide 25mg/5ml oral suspension (Special Order)
amp,12500811000001105,0202010L0AAANAN,Hydrochlorothiazide 15mg/5ml oral suspension (Special Order)
amp,12501111000001109,0202010L0AAANAN,Hydrochlorothiazide 15mg/5ml oral solution (Special Order)
amp,8520711000001103,0202010L0AAAPAP,Hydrochlorothiazide 50mg/5ml oral solution (Special Order)
amp,8521011000001109,0202010L0AAAPAP,Hydrochlorothiazide 50mg/5ml oral suspension (Special Order)
amp,12511611000001103,0202010L0AAAQAQ,Hydrochlorothiazide 7mg/5ml oral suspension (Special Order)
amp,12512611000001109,0202010L0AAAQAQ,Hydrochlorothiazide 7mg/5ml oral solution (Special Order)
amp,8516711000001109,0202010L0AAASAS,Hydrochlorothiazide 10mg/5ml oral solution (Special Order)
amp,8519211000001106,0202010L0AAASAS,Hydrochlorothiazide 10mg/5ml oral suspension (Special Order)
amp,12508411000001106,0202010L0AAATAT,Hydrochlorothiazide 5mg/5ml oral suspension (Special Order)
amp,12508711000001100,0202010L0AAATAT,Hydrochlorothiazide 5mg/5ml oral solution (Special Order)
amp,12509611000001100,0202010L0AAAUAU,Hydrochlorothiazide 60.8mg/5ml oral suspension (Special Order)
amp,12509911000001106,0202010L0AAAUAU,Hydrochlorothiazide 60.8mg/5ml oral solution (Special Order)
amp,12510211000001106,0202010L0AAAVAV,Hydrochlorothiazide 6mg/5ml oral suspension (Special Order)
amp,12510911000001102,0202010L0AAAVAV,Hydrochlorothiazide 6mg/5ml oral solution (Special Order)
amp,12507811000001109,0202010L0AAAXAX,Hydrochlorothiazide 250mg/5ml oral suspension (Special Order)
amp,12508111000001101,0202010L0AAAXAX,Hydrochlorothiazide 250mg/5ml oral solution (Special Order)
amp,24583511000001107,0202010L0AAAYAY,Hydrochlorothiazide 12.5mg tablets (Special Order)
amp,4544011000001109,0202010L0BCAAAB,Hydrosaluric 25mg tablets (Merck Sharp & Dohme Ltd)
amp,4546211000001109,0202010L0BCABAC,Hydrosaluric 50mg tablets (Merck Sharp & Dohme Ltd)
amp,55911000001104,0202010P0AAAAAA,Indapamide 2.5mg tablets (Ranbaxy (UK) Ltd)
amp,56211000001102,0202010P0AAAAAA,Indapamide 2.5mg tablets (A A H Pharmaceuticals Ltd)
amp,146711000001100,0202010P0AAAAAA,Indapamide 2.5mg tablets (Kent Pharmaceuticals Ltd)
amp,214811000001107,0202010P0AAAAAA,Indapamide 2.5mg tablets (Zentiva)
amp,397311000001100,0202010P0AAAAAA,Indapamide 2.5mg tablets (Actavis UK Ltd)
amp,450511000001107,0202010P0AAAAAA,Indapamide 2.5mg tablets (Mylan)
amp,598411000001109,0202010P0AAAAAA,Indapamide 2.5mg tablets (Alliance Healthcare (Distribution) Ltd)
amp,692411000001104,0202010P0AAAAAA,Indapamide 2.5mg tablets (Sandoz Ltd)
amp,711711000001108,0202010P0AAAAAA,Indapamide 2.5mg tablets (Teva UK Ltd)
amp,8139411000001107,0202010P0AAAAAA,Indapamide 2.5mg tablets (Genus Pharmaceuticals Ltd)
amp,10380011000001106,0202010P0AAAAAA,Indapamide 2.5mg tablets (Arrow Generics Ltd)
amp,10437611000001100,0202010P0AAAAAA,Indapamide 2.5mg tablets (Niche Generics Ltd)
amp,13579511000001104,0202010P0AAAAAA,Indapamide 2.5mg tablets (DE Pharmaceuticals)
amp,14784911000001103,0202010P0AAAAAA,Indapamide 2.5mg tablets (Boston Healthcare Ltd)
amp,17932311000001102,0202010P0AAAAAA,Indapamide 2.5mg tablets (Phoenix Healthcare Distribution Ltd)
amp,18283111000001109,0202010P0AAAAAA,Indapamide 2.5mg tablets (Strides Pharma UK Ltd)
amp,21924511000001102,0202010P0AAAAAA,Indapamide 2.5mg tablets (Waymade Healthcare Plc)
amp,29877611000001107,0202010P0AAAAAA,Indapamide 2.5mg tablets (Sigma Pharmaceuticals Plc)
amp,30213711000001108,0202010P0AAAAAA,Indapamide 2.5mg tablets (Mawdsley-Brooks & Company Ltd)
amp,35593111000001109,0202010P0AAAAAA,Indapamide 2.5mg tablets (RX Farma)
amp,21575211000001108,0202010P0AAABAB,Indapamide 2.5mg/5ml oral suspension (Special Order)
amp,14170611000001100,0202010P0AAADAD,Indapamide 1.5mg modified-release tablets (Kent Pharmaceuticals Ltd)
amp,14598711000001105,0202010P0AAAFAF,Indapamide 1.5mg modified-release tablets (Sandoz Ltd)
